"Stream","Reach","Points Studied","Cross Sections Studied","Type","Discharge (CFS)"
"01","1",123,17,"Beaded","0.473"
"01","2",100,20,"Beaded","0.738"
"01","3",75,11,"Alluvial","0.38"
"02","1",61,11,"Beaded","0"
"02","2",50,10,"Alluvial","Not Measured"
"03","1",94,13,"Beaded","Not Measured"
"03","2",126,16,"Alluvial","2.53766666666667"
"03","3",86,17,"Beaded","Not Measured"
"04","1",66,10,"Alluvial","1.882"
"04","2",58,8,"Beaded","2.494"
"04","3",85,11,"Beaded","Not Measured"
"05","1",76,10,"Beaded","1.16"
"05","2",69,10,"Alluvial","Not Measured"
"05","3",41,6,"Alluvial","Not Measured"
"06","1",60,8,"Alluvial","0.289"
"06","2",86,9,"Beaded","Not Measured"
"06","3",139,15,"Beaded","0.305"
"07","1",73,8,"Beaded","Not Measured"
"07","2",80,9,"Alluvial","18.381"
"07","3",94,9,"Beaded","17.785"
"08","1",63,9,"Alluvial","3.917"
"08","2",64,8,"Beaded","Not Measured"
"09","1",85,10,"Alluvial","Not Measured"
"09","2",73,7,"Beaded","Not Measured"
"09","3",107,11,"Beaded","8.3375"
"11","1",83,10,"Beaded","Not Measured"
"11","2",78,10,"Beaded","1.721"
"11","3",62,7,"Beaded","1.605"
"12","1",112,12,"Beaded","Not Measured"
"12","2",160,17,"Beaded","1.95"
